,brief,full
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,Common Pathway of Fibrin Clot Formation, 
REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION,Competing endogenous RNAs (ceRNAs) regulate PTEN translation, 
REACTOME_COMPLEMENT_CASCADE,Complement cascade, 
REACTOME_COMPLEX_I_BIOGENESIS,Complex I biogenesis, 
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,Condensation of Prometaphase Chromosomes, 
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,Condensation of Prophase Chromosomes, 
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE,Conjugation of benzoate with glycine, 
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,Constitutive Signaling by Aberrant PI3K in Cancer, 
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,Constitutive Signaling by AKT1 E17K in Cancer, 
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII,Constitutive Signaling by EGFRvIII, 
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants, 
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,Constitutive Signaling by Overexpressed ERBB2, 
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase, 
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding, 
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding, 
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,COPI-dependent Golgi-to-ER retrograde traffic, 
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,COPI-independent Golgi-to-ER retrograde traffic, 
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,COPI-mediated anterograde transport, 
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,COPII-mediated vesicle transport, 
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,Costimulation by the CD28 family, 
REACTOME_CREATINE_METABOLISM,Creatine metabolism, 
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,Creation of C4 and C2 activators, 
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling, 
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE,CREB1 phosphorylation through the activation of Adenylate Cyclase, 
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde, 
REACTOME_CREB3_FACTORS_ACTIVATE_GENES,CREB3 factors activate genes, 
REACTOME_CREB_PHOSPHORYLATION,CREB phosphorylation, 
REACTOME_CRISTAE_FORMATION,Cristae formation, 
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,CRMPs in Sema3A signaling, 
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,Cross-presentation of particulate exogenous antigens (phagosomes), 
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Cross-presentation of soluble exogenous antigens (endosomes), 
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,Crosslinking of collagen fibrils, 
REACTOME_CS_DS_DEGRADATION,CS/DS degradation, 
REACTOME_CTLA4_INHIBITORY_SIGNALING,CTLA4 inhibitory signaling, 
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,Cyclin A/B1/B2 associated events during G2/M transition, 
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,Cyclin A:Cdk2-associated events at S phase entry, 
REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,Cyclin D associated events in G1, 
REACTOME_CYP2E1_REACTIONS,CYP2E1 reactions, 
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,Cytochrome c-mediated apoptotic response, 
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,Cytochrome P450 - arranged by substrate type, 
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Cytokine Signaling in Immune system, 
REACTOME_CYTOPROTECTION_BY_HMOX1,Cytoprotection by HMOX1, 
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY,Cytosolic iron-sulfur cluster assembly, 
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,Cytosolic sensors of pathogen-associated DNA, 
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,Cytosolic sulfonation of small molecules, 
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,Cytosolic tRNA aminoacylation, 
REACTOME_DAG_AND_IP3_SIGNALING,DAG and IP3 signaling, 
REACTOME_DAP12_INTERACTIONS,DAP12 interactions, 
REACTOME_DAP12_SIGNALING,DAP12 signaling, 
REACTOME_DARPP_32_EVENTS,DARPP-32 events, 
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING,DCC mediated attractive signaling, 
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,DDX58/IFIH1-mediated induction of interferon-alpha/beta, 
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,Deactivation of the beta-catenin transactivating complex, 
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,Deadenylation-dependent mRNA decay, 
REACTOME_DEADENYLATION_OF_MRNA,Deadenylation of mRNA, 
REACTOME_DEATH_RECEPTOR_SIGNALLING,Death Receptor Signalling, 
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,Dectin-1 mediated noncanonical NF-kB signaling, 
REACTOME_DECTIN_2_FAMILY,Dectin-2 family, 
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d), 
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE,"Defective B4GALT7 causes EDS, progeroid type", 
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS,Defective C1GALT1C1 causes TNPS, 
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,Defective CFTR causes cystic fibrosis, 
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE,"Defective CHST14 causes EDS, musculocontractural type", 
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,Defective CHST3 causes SEDCJD, 
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,Defective CHST6 causes MCDC1, 
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS,Defective CHSY1 causes TPBS, 
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5,Defective CSF2RB causes SMDP5, 
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2,Defective EXT2 causes exostoses 2, 
REACTOME_DEFECTIVE_F9_ACTIVATION,Defective F9 activation, 
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B,Defective factor IX causes hemophilia B, 
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A,Defective factor VIII causes hemophilia A, 
REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC,Defective GALNT3 causes HFTC, 
REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS,Defective Intrinsic Pathway for Apoptosis, 
REACTOME_DEFECTIVE_LFNG_CAUSES_SCDO3,Defective LFNG causes SCDO3, 
REACTOME_DEFECTIVE_RIPK1_MEDIATED_REGULATED_NECROSIS,Defective RIPK1-mediated regulated necrosis, 
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15,Defective ST3GAL3 causes MCT12 and EIEE15, 
REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,Defects in biotin (Btn) metabolism, 
REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM,Defects in cobalamin (B12) metabolism, 
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,Defects in vitamin and cofactor metabolism, 
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS), 
REACTOME_DEFENSINS,Defensins, 
REACTOME_DEGRADATION_OF_AXIN,Degradation of AXIN, 
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,Degradation of beta-catenin by the destruction complex, 
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,Degradation of cysteine and homocysteine, 
REACTOME_DEGRADATION_OF_DVL,Degradation of DVL, 
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,Degradation of GLI1 by the proteasome, 
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,Degradation of the extracellular matrix, 
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA,Depolymerisation of the Nuclear Lamina, 
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,Deposition of new CENPA-containing nucleosomes at the centromere, 
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS,Dermatan sulfate biosynthesis, 
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,Detoxification of Reactive Oxygen Species, 
REACTOME_DEUBIQUITINATION,Deubiquitination, 
REACTOME_DEVELOPMENTAL_BIOLOGY,Developmental Biology, 
REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,DEx/H-box helicases activate type I IFN and inflammatory cytokines production, 
REACTOME_DIGESTION,Digestion, 
REACTOME_DIGESTION_AND_ABSORPTION,Digestion and absorption, 
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE,Digestion of dietary carbohydrate, 
REACTOME_DIGESTION_OF_DIETARY_LIPID,Digestion of dietary lipid, 
REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE,Disassembly of the destruction complex and recruitment of AXIN to the membrane, 
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,Diseases associated with glycosaminoglycan metabolism, 
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Diseases associated with glycosylation precursor biosynthesis, 
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS,Diseases associated with N-glycosylation of proteins, 
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,Diseases associated with O-glycosylation of proteins, 
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM,Diseases associated with surfactant metabolism, 
REACTOME_DISEASES_OF_BASE_EXCISION_REPAIR,Diseases of Base Excision Repair, 
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,Diseases of carbohydrate metabolism, 
REACTOME_DISEASES_OF_DNA_REPAIR,Diseases of DNA repair, 
REACTOME_DISEASES_OF_GLYCOSYLATION,Diseases of glycosylation, 
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,Diseases of Immune System, 
REACTOME_DISEASES_OF_METABOLISM,Diseases of metabolism, 
REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR,Diseases of Mismatch Repair (MMR), 
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,Diseases of mitotic cell cycle, 
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,Diseases of programmed cell death, 
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,Diseases of signal transduction by growth factor receptors and second messengers, 
REACTOME_DISINHIBITION_OF_SNARE_FORMATION,Disinhibition of SNARE formation, 
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,Disorders of transmembrane transporters, 
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,Displacement of DNA glycosylase by APEX1, 
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT,Dissolution of Fibrin Clot, 
REACTOME_DNA_DAMAGE_BYPASS,DNA Damage Bypass, 
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,DNA Damage Recognition in GG-NER, 
REACTOME_DNA_DAMAGE_REVERSAL,DNA Damage Reversal, 
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,DNA Damage/Telomere Stress Induced Senescence, 
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,DNA Double-Strand Break Repair, 
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,DNA Double Strand Break Response, 
REACTOME_DNA_METHYLATION,DNA methylation, 
REACTOME_DNA_REPAIR,DNA Repair, 
REACTOME_DNA_REPLICATION,DNA Replication, 
REACTOME_DNA_REPLICATION_INITIATION,DNA replication initiation, 
REACTOME_DNA_REPLICATION_PRE_INITIATION,DNA Replication Pre-Initiation, 
REACTOME_DNA_STRAND_ELONGATION,DNA strand elongation, 
REACTOME_DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT,Dopamine clearance from the synaptic cleft, 
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,Dopamine Neurotransmitter Release Cycle, 
REACTOME_DOPAMINE_RECEPTORS,Dopamine receptors, 
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,Downregulation of ERBB2:ERBB3 signaling, 
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,Downregulation of ERBB2 signaling, 
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,Downregulation of ERBB4 signaling, 
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,Downregulation of SMAD2/3:SMAD4 transcriptional activity, 
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,Downregulation of TGF-beta receptor signaling, 
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,Downstream signal transduction, 
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,Downstream signaling events of B Cell Receptor (BCR), 
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1,Downstream signaling of activated FGFR1, 
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2,Downstream signaling of activated FGFR2, 
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3,Downstream signaling of activated FGFR3, 
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4,Downstream signaling of activated FGFR4, 
REACTOME_DRUG_ADME,Drug ADME, 
REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY,Drug-mediated inhibition of CDK4/CDK6 activity, 
REACTOME_DSCAM_INTERACTIONS,DSCAM interactions, 
REACTOME_DUAL_INCISION_IN_GG_NER,Dual Incision in GG-NER, 
REACTOME_DUAL_INCISION_IN_TC_NER,Dual incision in TC-NER, 
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,E2F-enabled inhibition of pre-replication complex formation, 
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,E2F mediated regulation of DNA replication, 
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,E3 ubiquitin ligases ubiquitinate target proteins, 
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE,Early Phase of HIV Life Cycle, 
REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS,Early SARS-CoV-2 Infection Events, 
REACTOME_ECM_PROTEOGLYCANS,ECM proteoglycans, 
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,Effects of PIP2 hydrolysis, 
REACTOME_EGFR_DOWNREGULATION,EGFR downregulation, 
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,EGFR interacts with phospholipase C-gamma, 
REACTOME_EGFR_TRANSACTIVATION_BY_GASTRIN,EGFR Transactivation by Gastrin, 
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,EGR2 and SOX10-mediated initiation of Schwann cell myelination, 
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,Eicosanoid ligand-binding receptors, 
REACTOME_EICOSANOIDS,Eicosanoids, 
REACTOME_ELASTIC_FIBRE_FORMATION,Elastic fibre formation, 
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS,Electric Transmission Across Gap Junctions, 
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS,Elevation of cytosolic Ca2+ levels, 
REACTOME_ENDOGENOUS_STEROLS,Endogenous sterols, 
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,Endosomal Sorting Complex Required For Transport (ESCRT), 
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,Endosomal/Vacuolar pathway, 
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK,Energy dependent regulation of mTOR by LKB1-AMPK, 
REACTOME_ENOS_ACTIVATION,eNOS activation, 
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,EPH-ephrin mediated repulsion of cells, 
REACTOME_EPH_EPHRIN_SIGNALING,EPH-Ephrin signaling, 
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,EPHA-mediated growth cone collapse, 
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,EPHB-mediated forward signaling, 
REACTOME_EPHRIN_SIGNALING,Ephrin signaling, 
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,Epigenetic regulation of gene expression, 
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC,ER Quality Control Compartment (ERQC), 
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,ER to Golgi Anterograde Transport, 
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING,ERBB2 Activates PTK6 Signaling, 
REACTOME_ERBB2_REGULATES_CELL_MOTILITY,ERBB2 Regulates Cell Motility, 
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression, 
REACTOME_ERK_MAPK_TARGETS,ERK/MAPK targets, 
REACTOME_ERKS_ARE_INACTIVATED,ERKs are inactivated, 
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,Erythrocytes take up carbon dioxide and release oxygen, 
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,Erythrocytes take up oxygen and release carbon dioxide, 
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,Erythropoietin activates Phosphoinositide-3-kinase (PI3K), 
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOLIPASE_C_GAMMA_PLCG,Erythropoietin activates Phospholipase C gamma (PLCG), 
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,Erythropoietin activates RAS, 
REACTOME_ERYTHROPOIETIN_ACTIVATES_STAT5,Erythropoietin activates STAT5, 
REACTOME_ESR_MEDIATED_SIGNALING,ESR-mediated signaling, 
REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION,Establishment of Sister Chromatid Cohesion, 
REACTOME_ESTROGEN_BIOSYNTHESIS,Estrogen biosynthesis, 
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,Estrogen-dependent gene expression, 
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,Estrogen-dependent nuclear events downstream of ESR-membrane signaling, 
REACTOME_ESTROGEN_STIMULATED_SIGNALING_THROUGH_PRKCZ,Estrogen-stimulated signaling through PRKCZ, 
REACTOME_ETHANOL_OXIDATION,Ethanol oxidation, 
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation, 
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation, 
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS,Export of Viral Ribonucleoproteins from Nucleus, 
REACTOME_EXTENSION_OF_TELOMERES,Extension of Telomeres, 
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,Extra-nuclear estrogen signaling, 
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular matrix organization, 
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,Extrinsic Pathway of Fibrin Clot Formation, 
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,Factors involved in megakaryocyte development and platelet production, 
REACTOME_FANCONI_ANEMIA_PATHWAY,Fanconi Anemia Pathway, 
REACTOME_FASL_CD95L_SIGNALING,FasL/ CD95L signaling, 
REACTOME_FATTY_ACID_METABOLISM,Fatty acid metabolism, 
REACTOME_FATTY_ACIDS,Fatty acids, 
REACTOME_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion, 
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Fatty acyl-CoA biosynthesis, 
REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,FBXW7 Mutants and NOTCH1 in Cancer, 
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,Fc epsilon receptor (FCERI) signaling, 
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,FCERI mediated Ca+2 mobilization, 
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,FCERI mediated MAPK activation, 
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,FCERI mediated NF-kB activation, 
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,Fcgamma receptor (FCGR) dependent phagocytosis, 
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,FCGR3A-mediated IL10 synthesis, 
REACTOME_FCGR_ACTIVATION,FCGR activation, 
REACTOME_FERTILIZATION,Fertilization, 
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION,FGFR1 ligand binding and activation, 
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION,FGFR1 mutant receptor activation, 
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION,FGFR1b ligand binding and activation, 
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION,FGFR1c ligand binding and activation, 
REACTOME_FGFR2_ALTERNATIVE_SPLICING,FGFR2 alternative splicing, 
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION,FGFR2 ligand binding and activation, 
REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION,FGFR2 mutant receptor activation, 
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION,FGFR2b ligand binding and activation, 
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION,FGFR2c ligand binding and activation, 
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION,FGFR3 ligand binding and activation, 
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION,FGFR3b ligand binding and activation, 
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING,FGFRL1 modulation of FGFR1 signaling, 
REACTOME_FIBRONECTIN_MATRIX_FORMATION,Fibronectin matrix formation, 
REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE,Ficolins bind to repetitive carbohydrate structures on the target cell surface, 
REACTOME_FLT3_SIGNALING,FLT3 Signaling, 
REACTOME_FLT3_SIGNALING_BY_CBL_MUTANTS,FLT3 signaling by CBL mutants, 
REACTOME_FLT3_SIGNALING_IN_DISEASE,FLT3 signaling in disease, 
REACTOME_FLT3_SIGNALING_THROUGH_SRC_FAMILY_KINASES,FLT3 signaling through SRC family kinases, 
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,Folding of actin by CCT/TriC, 
REACTOME_FORMATION_OF_APOPTOSOME,Formation of apoptosome, 
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,Formation of ATP by chemiosmotic coupling, 
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,Formation of Fibrin Clot (Clotting Cascade), 
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,Formation of Incision Complex in GG-NER, 
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,Formation of RNA Pol II elongation complex, 
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,Formation of Senescence-Associated Heterochromatin Foci (SAHF), 
REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX,Formation of TC-NER Pre-Incision Complex, 
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,Formation of the beta-catenin:TCF transactivating complex, 
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,Formation of the cornified envelope, 
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,Formation of the Early Elongation Complex, 
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,Formation of tubulin folding intermediates by CCT/TriC, 
REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE,Formation of xylulose-5-phosphate, 
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,Formyl peptide receptors bind formyl peptides and many other ligands, 
REACTOME_FOXO_MEDIATED_TRANSCRIPTION,FOXO-mediated transcription, 
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES,FOXO-mediated transcription of cell cycle genes, 
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,FOXO-mediated transcription of cell death genes, 
